epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.558,0.93705,5.22562,0.01706,0.74332,0.24742,0.52951,0.35886,0.80796,8.54901,0.01987,0.000653061,0.000653061,0.000653061
2,507.946,1.08346,4.49785,0.02003,0.60624,0.50795,0.57689,0.29034,1.32688,8.09148,0.03687,0.00127618,0.00127618,0.00127618
3,758.192,1.16987,3.9928,0.02237,0.7303,0.54639,0.63299,0.33303,1.28498,6.69231,0.03583,0.00185529,0.00185529,0.00185529
4,1001.45,1.23978,3.60111,0.02378,0.5372,0.5567,0.51427,0.29464,1.38505,5.47689,0.03849,0.001802,0.001802,0.001802
5,1223.63,1.25566,3.16427,0.02495,0.58901,0.56147,0.56115,0.28769,1.48898,4.72717,0.0428,0.001736,0.001736,0.001736
6,1450.62,1.25273,2.85122,0.02466,0.46033,0.55403,0.46494,0.20634,1.58482,4.49014,0.04316,0.00167,0.00167,0.00167
7,1680.99,1.36241,2.66485,0.02645,0.57974,0.54045,0.53749,0.28527,1.47534,3.4917,0.04105,0.001604,0.001604,0.001604
8,1918.08,1.23094,2.35508,0.02294,0.78391,0.59837,0.6762,0.35416,1.51679,2.88574,0.04366,0.001538,0.001538,0.001538
9,6581.27,1.26678,2.09285,0.02351,0.69906,0.68041,0.72052,0.39784,1.31884,2.55419,0.03593,0.001472,0.001472,0.001472
10,6880.2,1.21244,1.96981,0.02354,0.7468,0.69072,0.737,0.41664,1.37875,2.29221,0.04029,0.001406,0.001406,0.001406
11,31398.7,1.21968,1.86672,0.0236,0.73091,0.71134,0.72372,0.41327,1.40954,2.18337,0.03987,0.00134,0.00134,0.00134
12,31626,1.21179,1.66026,0.02299,0.79282,0.70103,0.75764,0.47952,1.31077,1.78628,0.03658,0.001274,0.001274,0.001274
13,31850.8,1.13981,1.56247,0.02138,0.85536,0.68041,0.78578,0.50413,1.17159,1.65617,0.03218,0.001208,0.001208,0.001208
14,32074.1,1.15297,1.47457,0.02238,0.74037,0.67618,0.73549,0.45642,1.1534,1.61414,0.03088,0.001142,0.001142,0.001142
15,32299.6,1.13184,1.43516,0.02134,0.75606,0.75258,0.78182,0.51063,1.34246,1.50205,0.03852,0.001076,0.001076,0.001076
16,32525.4,1.08283,1.31458,0.02022,0.81273,0.69072,0.79375,0.48049,1.32886,1.45968,0.03664,0.00101,0.00101,0.00101
17,32747.8,1.11191,1.32463,0.02043,0.78361,0.69072,0.76293,0.5008,1.25835,1.48554,0.03491,0.000944,0.000944,0.000944
18,32975.9,1.06284,1.2745,0.02035,0.75538,0.70103,0.74868,0.50411,1.19363,1.38334,0.0325,0.000878,0.000878,0.000878
19,33199.6,1.04685,1.24938,0.01932,0.73534,0.76289,0.79955,0.54196,1.10656,1.34477,0.03001,0.000812,0.000812,0.000812
20,33425,1.06154,1.15358,0.01962,0.76428,0.80222,0.77406,0.49583,1.18737,1.3163,0.03101,0.000746,0.000746,0.000746
21,33646.7,1.01157,1.27959,0.02681,0.77783,0.69072,0.73713,0.49567,1.14307,1.3679,0.03061,0.00068,0.00068,0.00068
22,33865.7,0.93853,1.03701,0.02256,0.74118,0.70856,0.77746,0.51422,1.19914,1.3197,0.03347,0.000614,0.000614,0.000614
23,34088.1,0.93795,0.96729,0.02388,0.74632,0.72165,0.77488,0.54452,1.15623,1.18601,0.03124,0.000548,0.000548,0.000548
24,34309.9,0.91051,0.91416,0.02237,0.73342,0.7732,0.77217,0.50073,1.20241,1.22898,0.03328,0.000482,0.000482,0.000482
25,34531.6,0.86364,0.8553,0.02214,0.73131,0.75764,0.76967,0.53699,1.13299,1.13492,0.03048,0.000416,0.000416,0.000416
26,34751.9,0.85228,0.80012,0.02188,0.82415,0.72474,0.798,0.56364,1.12595,1.07028,0.02994,0.00035,0.00035,0.00035
27,34976.2,0.80095,0.82842,0.01928,0.83815,0.80081,0.81931,0.56661,1.11396,1.08353,0.02944,0.000284,0.000284,0.000284
28,35198.7,0.77742,0.71302,0.01874,0.72713,0.79381,0.79687,0.54846,1.10139,1.1222,0.02924,0.000218,0.000218,0.000218
29,35419,0.75969,0.72165,0.01906,0.73902,0.72986,0.78708,0.54692,1.06136,1.15876,0.0273,0.000152,0.000152,0.000152
30,35639.8,0.81539,0.72975,0.02071,0.70953,0.75258,0.78463,0.53862,1.06388,1.18403,0.02803,8.6e-05,8.6e-05,8.6e-05
